Negara, tahun, populasi
Indonesia, 2021-11-01T12:00:00Z, 270203.9
Indonesia, 2022-11-01T12:00:00Z, 272679.2
Indonesia, 2023-11-01T12:00:00Z, 275719.9
Indonesia, 2024-11-01T12:00:00Z, 281603.8
